"id","pop_est_2015","county_name","state","FIPS","google_county_name","pop_est_2000","pop_est_2001","pop_est_2002","pop_est_2003","pop_est_2004","pop_est_2005","pop_est_2006","pop_est_2007","pop_est_2008","pop_est_2009","pop_est_2010","pop_est_2011","pop_est_2012","pop_est_2013","pop_est_2014"
45205,24114,"Columbia County","Arkansas","05027","Columbia County",25599,25424,25362,25106,25154,25025,25133,24847,24666,24622,24552,24685,24427,24305,24102
45209,48963,"Crittenden County","Arkansas","05035","Crittenden County",50915,50919,50622,50252,50266,50244,50360,50438,50699,50929,50902,50514,50050,49738,49558
45212,11965,"Desha County","Arkansas","05041","Desha County",15302,14958,14583,14405,14270,13992,13870,13523,13273,13108,13008,12702,12562,12450,12215
45216,12204,"Fulton County","Arkansas","05049","Fulton County",11656,11676,11737,11831,12079,12127,12119,12354,12382,12231,12245,12289,12248,12242,12139
45220,22084,"Hempstead County","Arkansas","05057","Hempstead County",23620,23318,23199,23090,22971,22924,22957,22918,22624,22615,22609,22513,22359,22408,22317
45224,13445,"Izard County","Arkansas","05065","Izard County",13298,13289,13273,13467,13512,13524,13583,13552,13681,13679,13696,13578,13516,13374,13488
45228,6996,"Lafayette County","Arkansas","05073","Lafayette County",8539,8374,8240,8244,8153,8042,7879,7845,7806,7654,7645,7541,7441,7245,7128
45232,12472,"Little River County","Arkansas","05081","Little River County",13613,13334,13413,13361,13176,13114,13147,13107,13099,13228,13171,12955,12910,12734,12531
45236,16185,"Marion County","Arkansas","05089","Marion County",16162,16232,16149,16133,16293,16464,16759,16795,16996,16721,16653,16652,16613,16440,16401
45240,8970,"Montgomery County","Arkansas","05097","Montgomery County",9263,9221,9150,9239,9334,9358,9437,9478,9573,9490,9487,9386,9322,9216,9089
45244,10189,"Perry County","Arkansas","05105","Perry County",10223,10306,10363,10346,10352,10356,10352,10496,10441,10443,10445,10394,10336,10340,10239
45248,20216,"Polk County","Arkansas","05113","Polk County",20268,20189,20243,20199,20057,20203,20422,20377,20388,20583,20662,20561,20437,20353,20254
45251,392664,"Pulaski County","Arkansas","05119","Pulaski County",361876,362866,364327,365258,366608,368274,371647,373403,376567,380053,382748,386827,388984,391352,392490
45255,10513,"Scott County","Arkansas","05127","Scott County",10980,10950,10930,10936,10872,10976,11239,11287,11227,11097,11233,11244,11007,10905,10683
45259,16912,"Sharp County","Arkansas","05135","Sharp County",17138,17244,17276,17381,17353,17391,17629,17506,17416,17373,17264,17277,17066,17098,16923
45263,225477,"Washington County","Arkansas","05143","Washington County",158851,163151,166859,171424,176837,183799,190314,194526,197223,199774,203065,207882,211637,216480,220682
45356,1423,"Kiowa County","Colorado","08061","Kiowa County",1610,1550,1519,1501,1457,1467,1456,1410,1392,1378,1398,1457,1438,1419,1411
45359,54688,"La Plata County","Colorado","08067","La Plata County",44228,45044,45869,46121,46728,47575,48574,49343,50291,51105,51334,51786,52307,53277,53850
